Name,Prop Title,Line,Over,Under,League
Anthony Volpe,MLBProps.HITS,0.5,0.5740945445087458,0.42590545549125436,MLB
Anthony Volpe,MLBProps.TOTALBASES,0.5,0.5729699775075789,0.427030022492421,MLB
Anthony Volpe,MLBProps.RBI,0.5,0.2898058911361477,0.7101941088638523,MLB
Anthony Volpe,MLBProps.STEALS,0.5,0.26202661207778916,0.7379733879222109,MLB
Luke Raley,MLBProps.SINGLES,0.5,0.4049875890900118,0.5950124109099882,MLB
Luke Raley,MLBProps.HITS,0.5,0.5915279878971256,0.40847201210287437,MLB
Luke Raley,MLBProps.TOTALBASES,0.5,0.5887850467289719,0.41121495327102797,MLB
Luke Raley,MLBProps.RBI,0.5,0.3414634146341463,0.6585365853658537,MLB
Luke Raley,MLBProps.STEALS,0.5,0.15947860206830047,0.8405213979316996,MLB
Ryan Mountcastle,MLBProps.SINGLES,0.5,0.5950124109099882,0.4049875890900118,MLB
Ryan Mountcastle,MLBProps.HITS,1.5,0.3697587593337162,0.6302412406662837,MLB
Ryan Mountcastle,MLBProps.TOTALBASES,1.5,0.5,0.5,MLB
Ryan Mountcastle,MLBProps.RBI,0.5,0.3666297731045932,0.6333702268954067,MLB
Ryan Mountcastle,MLBProps.STEALS,0.5,0.0800405091582127,0.9199594908417873,MLB
